,Overall rank,Country or region,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption
12,13,Israel,7.139,1.276,1.455,1.029,0.371,0.261,0.082
19,20,Czech Republic,6.852,1.269,1.487,0.92,0.457,0.046,0.036
22,23,Mexico,6.595,1.07,1.323,0.861,0.433,0.074,0.073
25,26,Chile,6.444,1.159,1.369,0.92,0.357,0.187,0.056
26,27,Guatemala,6.436,0.8,1.269,0.746,0.535,0.175,0.078
29,30,Spain,6.354,1.286,1.484,1.062,0.362,0.153,0.079
30,31,Panama,6.321,1.149,1.442,0.91,0.516,0.109,0.054
34,35,El Salvador,6.253,0.794,1.242,0.789,0.43,0.093,0.074
35,36,Italy,6.223,1.294,1.488,1.039,0.231,0.158,0.03
37,38,Slovakia,6.198,1.246,1.504,0.881,0.334,0.121,0.014
38,39,Trinidad & Tobago,6.192,1.231,1.477,0.713,0.489,0.185,0.016
39,40,Poland,6.182,1.206,1.438,0.884,0.483,0.117,0.05
41,42,Lithuania,6.149,1.238,1.515,0.818,0.291,0.043,0.042
42,43,Colombia,6.125,0.985,1.41,0.841,0.47,0.099,0.034
43,44,Slovenia,6.118,1.258,1.523,0.953,0.564,0.144,0.057
45,46,Kosovo,6.1,0.882,1.232,0.758,0.489,0.262,0.006
46,47,Argentina,6.086,1.092,1.432,0.881,0.471,0.066,0.05
47,48,Romania,6.07,1.162,1.232,0.825,0.462,0.083,0.005
48,49,Cyprus,6.046,1.263,1.223,1.042,0.406,0.19,0.041
51,52,Thailand,6.008,1.05,1.409,0.828,0.557,0.359,0.028
52,53,Latvia,5.94,1.187,1.465,0.812,0.264,0.075,0.064
53,54,South Korea,5.895,1.301,1.219,1.036,0.159,0.175,0.056
55,56,Jamaica,5.89,0.831,1.478,0.831,0.49,0.107,0.028
56,57,Mauritius,5.888,1.12,1.402,0.798,0.498,0.215,0.06
58,59,Honduras,5.86,0.642,1.236,0.828,0.507,0.246,0.078
60,61,Bolivia,5.779,0.776,1.209,0.706,0.511,0.137,0.064
61,62,Hungary,5.758,1.201,1.41,0.828,0.199,0.081,0.02
62,63,Paraguay,5.743,0.855,1.475,0.777,0.514,0.184,0.08
64,65,Peru,5.697,0.96,1.274,0.854,0.455,0.083,0.027
65,66,Portugal,5.693,1.221,1.431,0.999,0.508,0.047,0.025
67,68,Russia,5.648,1.183,1.452,0.726,0.334,0.082,0.031
69,70,Serbia,5.603,1.004,1.383,0.854,0.282,0.137,0.039
70,71,Moldova,5.529,0.685,1.328,0.739,0.245,0.181,0.0
72,73,Montenegro,5.523,1.051,1.361,0.871,0.197,0.142,0.08
74,75,Croatia,5.432,1.155,1.266,0.914,0.296,0.119,0.022
77,78,Bosnia and Herzegovina,5.386,0.945,1.212,0.845,0.212,0.263,0.006
79,80,Malaysia,5.339,1.221,1.171,0.828,0.508,0.26,0.024
81,82,Greece,5.287,1.181,1.156,0.999,0.067,0.0,0.034
82,83,Mongolia,5.285,0.948,1.531,0.667,0.317,0.235,0.038
83,84,North Macedonia,5.274,0.983,1.294,0.838,0.345,0.185,0.034
84,85,Nigeria,5.265,0.696,1.111,0.245,0.426,0.215,0.041
85,86,Kyrgyzstan,5.261,0.551,1.438,0.723,0.508,0.3,0.023
86,87,Turkmenistan,5.247,1.052,1.538,0.657,0.394,0.244,0.028
88,89,Morocco,5.208,0.801,0.782,0.782,0.418,0.036,0.076
90,91,Lebanon,5.197,0.987,1.224,0.815,0.216,0.166,0.027
91,92,Indonesia,5.192,0.931,1.203,0.66,0.491,0.498,0.028
93,94,Vietnam,5.175,0.741,1.346,0.851,0.543,0.147,0.073
95,96,Cameroon,5.044,0.549,0.91,0.331,0.381,0.187,0.037
