Value,Code,Label
Q2,1,מחל - הליכוד בהנהגת בנימין נתניהו לראשות הממשלה
Q2,2,פה - יש עתיד בראשות יאיר לפיד
Q2,3,שס - התאחדות הספרדים שומרי תורה תנועתו של מרן הרב עובדיה יוסף זצל
Q2,4,כן - כחול לבן בראשות בני גנץ
Q2,5,ב - ימינה בראשות נפתלי בנט
Q2,6,אמת - מפלגת העבודה בראשות מרב מיכאלי
Q2,7,"ג - יהדות התורה והשבת, אגודת ישראל - דגל התורה"
Q2,8,ל - ישראל ביתנו בראשות אביגדור ליברמן
Q2,9,ט - הציונות הדתית בראשות בצלאל סמוטריץ`
Q2,10,"ודעם - הרשימה המשותפת (חדש, תעל, בלד)"
Q2,11,ת - תקווה חדשה בהנהגת גדעון סער לראשות הממשלה
Q2,12,מרצ - השמאל של ישראל
Q2,13,עם - הרשימה הערבית המאוחדת
Q2,14,יז - הכלכלית החדשה בראשות פרופסור ירון זליכה
Q2,15,ר - רפא - רק בריאות בראשות דוקטור אריה אבני
Q2,16,מפלגה אחרת
Q2,17,פתק לבן | לא אצביע
Q3_1,0,No
,1,Yes
Q3_2,0,No
,1,Yes
Q3_3,0,No
,1,Yes
Q3_4,0,No
,1,Yes
Q3_5,0,No
,1,Yes
Q3_6,0,No
,1,Yes
Q3_7,0,No
,1,Yes
Q3_8,0,No
,1,Yes
Q3_9,0,No
,1,Yes
Q3_10,0,No
,1,Yes
Q3_11,0,No
,1,Yes
Q3_12,0,No
,1,Yes
Q3_13,0,No
,1,Yes
Q3_14,0,No
,1,Yes
Q3_15,0,No
,1,Yes
Q3_16,0,No
,1,Yes
Q3_17,0,No
,1,Yes
Q4,1,מועמדי מחל - הליכוד:
Q4,2,1 בנימין נתניהו
Q4,3,2 יולי אדלשטיין
Q4,4,3 ישראל כץ
Q4,5,4 מירי רגב
Q4,6,5 יריב לוין
Q4,7,6 יואב גלנט
Q4,8,7 ניר ברקת
Q4,9,8 גילה גמליאל
Q4,10,9 אבי דיכטר
Q4,11,10גלית דיסטל-אטבריאן
Q4,12,11 חיים כץ
Q4,13,12אלי כהן
Q4,14,13צחי הנגבי
Q4,15,14אופיר אקוניס
Q4,16,15יובל שטייניץ
Q4,17,16דודי אמסלם
Q4,18,17גדי יברקן
Q4,19,18אמיר אוחנה
Q4,20,19אופיר כץ
Q4,21,20אתי עטייה
Q4,22,21יואב קיש
Q4,23,22דוד ביטן
Q4,24,23קרן ברק
Q4,25,24שלמה קרעי
Q4,26,25מיקי זוהר
Q4,27,26אורלי לוי-אבקסיס
Q4,28,27קטי שטרית
Q4,29,28אופיר סופר
Q4,30,29פטין מולא
Q4,31,30מאי גולן
Q4,32,31טלי פלוסקוב
Q4,33,32עוזי דיין
Q4,34,33מועמד|ת אחר|ת מרשימת הליכוד
Q4,35,מועמדי פה - יש עתיד:
Q4,36,1 יאיר לפיד
Q4,37,2 אורנה ברביבאי
Q4,38,3 מאיר כהן
Q4,39,4 קארין אלהרר
Q4,40,5 מירב כהן
Q4,41,6 יואל רזבוזוב
Q4,42,7 אלעזר שטרן
Q4,43,8 מיקי לוי
Q4,44,9 מירב בן-ארי
Q4,45,10רם בן ברק
Q4,46,11 יואב סגלוביץ
Q4,47,12בועז טופורובסקי
Q4,48,13עידן רול
Q4,49,14יוראי להב-הרצנו
Q4,50,15ולדימיר בליאק
Q4,51,16רון כץ
Q4,52,17נירה שפק
Q4,53,18טניה מזרסקי
Q4,54,19מועמד|ת אחר|ת מרשימת יש עתיד
Q4,55,מועמדי שס:
Q4,56,1 אריה דרעי
Q4,57,2 יעקב מרגי
Q4,58,3 יואב בן-צור
Q4,59,4 מיכאל מלכיאלי
Q4,60,5 חיים ביטון
Q4,61,6 משה ארבל
Q4,62,7 ינון אזולאי
Q4,63,8 משה אבוטבול
Q4,64,9 אוריאל בוסו
Q4,65,10יוסי טייב
Q4,66,11 מועמד|ת אחר|ת מרשימת שס
Q4,67,מועמדי כן - כחול לבן:
Q4,68,1 בני גנץ
Q4,69,2 פנינה תמנו-שטה
Q4,70,3 חילי טרופר
Q4,71,4 מיכאל ביטון
