Variable,Position,Label,Measurement Level,Role,Column Width,Alignment,Print Format,Write Format
id,1,<none>,Scale,Input,12,Right,F10,F10
ext_id,2,<none>,Nominal,Input,12,Right,F10,F10
start,3,<none>,Nominal,Input,22,Left,A20,A20
finish,4,<none>,Nominal,Input,22,Left,A20,A20
Q2,5,בחירות מפלגתיות,Nominal,Input,12,Right,F10,F10
Q3_1,6,מחל - הליכוד בהנהגת בנימין נתניהו לראשות הממשלה,Nominal,Input,12,Right,F10,F10
Q3_2,7,פה - יש עתיד בראשות יאיר לפיד,Nominal,Input,12,Right,F10,F10
Q3_3,8,"שס - התאחדות הספרדים שומרי תורה תנועתו של מרן הרב עובדיה יוסף זצ""ל",Nominal,Input,12,Right,F10,F10
Q3_4,9,כן - כחול לבן בראשות בני גנץ,Nominal,Input,12,Right,F10,F10
Q3_5,10,ב - ימינה בראשות נפתלי בנט,Nominal,Input,12,Right,F10,F10
Q3_6,11,אמת - מפלגת העבודה בראשות מרב מיכאלי,Nominal,Input,12,Right,F10,F10
Q3_7,12,"ג - יהדות התורה והשבת, אגודת ישראל - דגל התורה",Nominal,Input,12,Right,F10,F10
Q3_8,13,ל - ישראל ביתנו בראשות אביגדור ליברמן,Nominal,Input,12,Right,F10,F10
Q3_9,14,ט - הציונות הדתית בראשות בצלאל סמוטריץ',Nominal,Input,12,Right,F10,F10
Q3_10,15,"ודעם - הרשימה המשותפת (חד""ש, תע""ל, בל""ד)",Nominal,Input,12,Right,F10,F10
Q3_11,16,ת - תקווה חדשה בהנהגת גדעון סער לראשות הממשלה,Nominal,Input,12,Right,F10,F10
Q3_12,17,מרצ - השמאל של ישראל,Nominal,Input,12,Right,F10,F10
Q3_13,18,עם - הרשימה הערבית המאוחדת,Nominal,Input,12,Right,F10,F10
Q3_14,19,יז - הכלכלית החדשה בראשות פרופסור ירון זליכה,Nominal,Input,12,Right,F10,F10
Q3_15,20,ר - רפא - רק בריאות בראשות דוקטור אריה אבני,Nominal,Input,12,Right,F10,F10
Q3_16,21,מפלגה אחרת,Nominal,Input,12,Right,F10,F10
Q3_17,22,אף מפלגה אינה קרובה לדעותיי,Nominal,Input,12,Right,F10,F10
Q4,23,בחירות אישיות,Scale,Input,12,Right,F10,F10
Q5_1,24, מועמדי מחל - הליכוד:,Nominal,Input,12,Right,F10,F10
Q5_2,25, 1 בנימין נתניהו,Nominal,Input,12,Right,F10,F10
Q5_3,26, 2 יולי אדלשטיין,Nominal,Input,12,Right,F10,F10
Q5_4,27, 3 ישראל כץ,Nominal,Input,12,Right,F10,F10
Q5_5,28, 4 מירי רגב,Nominal,Input,12,Right,F10,F10
Q5_6,29, 5 יריב לוין,Nominal,Input,12,Right,F10,F10
Q5_7,30, 6 יואב גלנט,Nominal,Input,12,Right,F10,F10
Q5_8,31, 7 ניר ברקת,Nominal,Input,12,Right,F10,F10
Q5_9,32, 8 גילה גמליאל,Nominal,Input,12,Right,F10,F10
Q5_10,33, 9 אבי דיכטר,Nominal,Input,12,Right,F10,F10
